time,flux,label
0.000000000000000000e+00,1.001063466072082520e+00,0.000000000000000000e+00
2.004008016032063962e-03,1.001699328422546387e+00,0.000000000000000000e+00
4.008016032064127925e-03,1.002805233001708984e+00,0.000000000000000000e+00
6.012024048096191453e-03,1.001592636108398438e+00,0.000000000000000000e+00
8.016032064128255849e-03,1.000349760055541992e+00,0.000000000000000000e+00
1.002004008016032024e-02,1.000991821289062500e+00,0.000000000000000000e+00
1.202404809619238291e-02,1.000436186790466309e+00,0.000000000000000000e+00
1.402805611222444730e-02,1.002755522727966309e+00,0.000000000000000000e+00
1.603206412825651170e-02,1.001712918281555176e+00,0.000000000000000000e+00
1.803607214428857436e-02,1.000232577323913574e+00,0.000000000000000000e+00
2.004008016032064049e-02,1.002386331558227539e+00,0.000000000000000000e+00
2.204408817635270315e-02,1.002224564552307129e+00,0.000000000000000000e+00
2.404809619238476581e-02,1.001449704170227051e+00,0.000000000000000000e+00
2.605210420841683194e-02,1.003859877586364746e+00,0.000000000000000000e+00
2.805611222444889460e-02,1.005416989326477051e+00,0.000000000000000000e+00
3.006012024048096073e-02,1.002526521682739258e+00,0.000000000000000000e+00
3.206412825651302340e-02,1.003825068473815918e+00,0.000000000000000000e+00
3.406813627254508953e-02,1.004679322242736816e+00,0.000000000000000000e+00
3.607214428857714872e-02,1.001628875732421875e+00,0.000000000000000000e+00
3.807615230460921485e-02,1.001948595046997070e+00,0.000000000000000000e+00
4.008016032064128098e-02,1.000895738601684570e+00,0.000000000000000000e+00
4.208416833667334017e-02,1.002069830894470215e+00,0.000000000000000000e+00
4.408817635270540630e-02,1.002587676048278809e+00,0.000000000000000000e+00
4.609218436873747243e-02,1.004005312919616699e+00,0.000000000000000000e+00
4.809619238476953162e-02,1.002172827720642090e+00,0.000000000000000000e+00
5.010020040080159776e-02,1.001018643379211426e+00,0.000000000000000000e+00
5.210420841683366389e-02,9.996164441108703613e-01,0.000000000000000000e+00
5.410821643286573002e-02,1.001553297042846680e+00,0.000000000000000000e+00
5.611222444889778921e-02,1.000300168991088867e+00,0.000000000000000000e+00
5.811623246492985534e-02,1.001551389694213867e+00,0.000000000000000000e+00
6.012024048096192147e-02,1.001458048820495605e+00,0.000000000000000000e+00
6.212424849699398066e-02,9.992154836654663086e-01,0.000000000000000000e+00
6.412825651302604679e-02,1.001229405403137207e+00,0.000000000000000000e+00
6.613226452905811292e-02,1.001748919486999512e+00,0.000000000000000000e+00
6.813627254509017905e-02,1.001506805419921875e+00,0.000000000000000000e+00
7.014028056112224518e-02,1.001638174057006836e+00,0.000000000000000000e+00
7.214428857715429744e-02,1.002914667129516602e+00,0.000000000000000000e+00
7.414829659318636357e-02,1.003073692321777344e+00,0.000000000000000000e+00
7.615230460921842970e-02,1.001995444297790527e+00,0.000000000000000000e+00
7.815631262525049583e-02,1.003371238708496094e+00,0.000000000000000000e+00
8.016032064128256196e-02,1.002347111701965332e+00,0.000000000000000000e+00
8.216432865731462809e-02,1.002585172653198242e+00,0.000000000000000000e+00
8.416833667334668034e-02,1.002265095710754395e+00,0.000000000000000000e+00
8.617234468937874647e-02,1.001159787178039551e+00,0.000000000000000000e+00
8.817635270541081260e-02,1.000863790512084961e+00,0.000000000000000000e+00
9.018036072144287874e-02,1.003025889396667480e+00,0.000000000000000000e+00
9.218436873747494487e-02,1.001954793930053711e+00,0.000000000000000000e+00
9.418837675350701100e-02,9.998878836631774902e-01,0.000000000000000000e+00
9.619238476953906325e-02,1.001170277595520020e+00,0.000000000000000000e+00
9.819639278557112938e-02,1.001626729965209961e+00,0.000000000000000000e+00
1.002004008016031955e-01,1.001763224601745605e+00,0.000000000000000000e+00
1.022044088176352616e-01,1.003320217132568359e+00,0.000000000000000000e+00
1.042084168336673278e-01,1.004468560218811035e+00,0.000000000000000000e+00
1.062124248496993939e-01,1.002858400344848633e+00,0.000000000000000000e+00
1.082164328657314600e-01,1.003802776336669922e+00,0.000000000000000000e+00
1.102204408817635123e-01,1.001775741577148438e+00,0.000000000000000000e+00
1.122244488977955784e-01,1.002007961273193359e+00,0.000000000000000000e+00
1.142284569138276445e-01,1.001412987709045410e+00,0.000000000000000000e+00
1.162324649298597107e-01,1.002312898635864258e+00,0.000000000000000000e+00
1.182364729458917768e-01,1.003114581108093262e+00,0.000000000000000000e+00
1.202404809619238429e-01,1.002233028411865234e+00,0.000000000000000000e+00
1.222444889779558952e-01,1.003131508827209473e+00,0.000000000000000000e+00
