time,flux,label
0.000000000000000000e+00,1.000392198562622070e+00,1.000000000000000000e+00
2.004008016032063962e-03,1.000590324401855469e+00,1.000000000000000000e+00
4.008016032064127925e-03,1.001183271408081055e+00,1.000000000000000000e+00
6.012024048096191453e-03,9.979710578918457031e-01,1.000000000000000000e+00
8.016032064128255849e-03,1.000666975975036621e+00,1.000000000000000000e+00
1.002004008016032024e-02,1.000590085983276367e+00,1.000000000000000000e+00
1.202404809619238291e-02,1.001322627067565918e+00,1.000000000000000000e+00
1.402805611222444730e-02,1.002950310707092285e+00,1.000000000000000000e+00
1.603206412825651170e-02,1.000235557556152344e+00,1.000000000000000000e+00
1.803607214428857436e-02,1.003687143325805664e+00,1.000000000000000000e+00
2.004008016032064049e-02,1.001152396202087402e+00,1.000000000000000000e+00
2.204408817635270315e-02,1.001481175422668457e+00,1.000000000000000000e+00
2.404809619238476581e-02,1.001135826110839844e+00,1.000000000000000000e+00
2.605210420841683194e-02,1.002750873565673828e+00,1.000000000000000000e+00
2.805611222444889460e-02,1.001580476760864258e+00,1.000000000000000000e+00
3.006012024048096073e-02,1.000810265541076660e+00,1.000000000000000000e+00
3.206412825651302340e-02,9.982011914253234863e-01,1.000000000000000000e+00
3.406813627254508953e-02,9.996249079704284668e-01,1.000000000000000000e+00
3.607214428857714872e-02,1.000708937644958496e+00,1.000000000000000000e+00
3.807615230460921485e-02,1.000560402870178223e+00,1.000000000000000000e+00
4.008016032064128098e-02,1.000798940658569336e+00,1.000000000000000000e+00
4.208416833667334017e-02,1.002954721450805664e+00,1.000000000000000000e+00
4.408817635270540630e-02,9.975737929344177246e-01,1.000000000000000000e+00
4.609218436873747243e-02,1.001267671585083008e+00,1.000000000000000000e+00
4.809619238476953162e-02,9.982705712318420410e-01,1.000000000000000000e+00
5.010020040080159776e-02,1.001779794692993164e+00,1.000000000000000000e+00
5.210420841683366389e-02,1.001919150352478027e+00,1.000000000000000000e+00
5.410821643286573002e-02,9.969647526741027832e-01,1.000000000000000000e+00
5.611222444889778921e-02,1.001687288284301758e+00,1.000000000000000000e+00
5.811623246492985534e-02,9.980835914611816406e-01,1.000000000000000000e+00
6.012024048096192147e-02,1.001403927803039551e+00,1.000000000000000000e+00
6.212424849699398066e-02,1.000564694404602051e+00,1.000000000000000000e+00
6.412825651302604679e-02,1.000700235366821289e+00,1.000000000000000000e+00
6.613226452905811292e-02,1.000593781471252441e+00,1.000000000000000000e+00
6.813627254509017905e-02,9.973294138908386230e-01,1.000000000000000000e+00
7.014028056112224518e-02,1.000471234321594238e+00,1.000000000000000000e+00
7.214428857715429744e-02,9.967798590660095215e-01,1.000000000000000000e+00
7.414829659318636357e-02,1.000196218490600586e+00,1.000000000000000000e+00
7.615230460921842970e-02,9.993733763694763184e-01,1.000000000000000000e+00
7.815631262525049583e-02,1.000447392463684082e+00,1.000000000000000000e+00
8.016032064128256196e-02,1.002533316612243652e+00,1.000000000000000000e+00
8.216432865731462809e-02,9.992168545722961426e-01,1.000000000000000000e+00
8.416833667334668034e-02,1.000973105430603027e+00,1.000000000000000000e+00
8.617234468937874647e-02,9.986354708671569824e-01,1.000000000000000000e+00
8.817635270541081260e-02,9.993780851364135742e-01,1.000000000000000000e+00
9.018036072144287874e-02,1.001164793968200684e+00,1.000000000000000000e+00
9.218436873747494487e-02,9.981240630149841309e-01,1.000000000000000000e+00
9.418837675350701100e-02,1.002029418945312500e+00,1.000000000000000000e+00
9.619238476953906325e-02,9.965121746063232422e-01,1.000000000000000000e+00
9.819639278557112938e-02,1.001636028289794922e+00,1.000000000000000000e+00
1.002004008016031955e-01,9.999995231628417969e-01,1.000000000000000000e+00
1.022044088176352616e-01,9.997821450233459473e-01,1.000000000000000000e+00
1.042084168336673278e-01,9.995142817497253418e-01,1.000000000000000000e+00
1.062124248496993939e-01,1.001704454421997070e+00,1.000000000000000000e+00
1.082164328657314600e-01,1.001244664192199707e+00,1.000000000000000000e+00
